Date;Time;Vehicule_No;Vehicule_Etat;Ligne_No;Ligne_Destination;Course_No;Arret_StopID;Arret_Mnemol;Arret_Nom;Horaire;Vehicule_Latitude;Vehicule_Longitude;Vehicule_Cap;Indicateur_Avance;Indicateur_Retard
10/11/2017 00:00:00;17:29:55;2084;TDEP;3;MOSSON;268437530;43259;LATTEST3;LATTES CENTRE;17:28:42;1842242;726903;75;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2078;TDEP;3;HORS SERVICE;268437338;43300;MOSSONRT;TIROIR MOSSON;17:33:00;1847238;719837;167;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2016;LIGN;1;ODYSSEUM;268436374;41138;DUGUESCS;DU GUESCLIN;17:31:33;1846061;724801;158;00:00:00;00:02:28
10/11/2017 00:00:00;17:29:55;220;LIGN;6;PAS DU LOUP;268438060;7137;JBART7E;JEAN BART;17:31:39;1848311;721314;229;00:00:00;00:06:30
10/11/2017 00:00:00;17:29:55;189;LIGN;19;COUBERTIN;268439855;7236;LVINCI7S;LYCEE DE VINCI;17:30:26;1848272;720221;297;00:02:40;00:00:00
10/11/2017 00:00:00;17:29:55;2091;TDEP;1;HORS SERVICE;268436463;41300;ODYSSER;TIROIR ODYSSEUM;17:33:00;1845974;727790;89;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2012;LIGN;1;ODYSSEUM;268436332;41163;STMOSSOE;STADE MOSSON;17:29:38;1847722;719682;0;00:00:00;00:00:38
10/11/2017 00:00:00;17:29:55;131;DEVP;9;APOLLO;268438485;9146;PL_FRANE;PLACE DE FRANCE;17:30:17;1846005;727861;251;00:00:00;00:02:14
10/11/2017 00:00:00;17:29:55;138;HLP;9;APOLLO;268438456;9146;PL_FRANE;PLACE DE FRANCE;17:37:00;1846025;727888;247;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;601;LIGN;15;PLACE DE FRANCE;268439709;9246;PL_FRANS;PLACE DE FRANCE;17:30:05;1846007;727557;160;00:00:00;00:05:01
10/11/2017 00:00:00;17:29:55;155;LIGN;9;PLACE DE FRANCE;268438582;9149;P_EUROPE;PL. DE L'EUROPE;17:28:47;1846378;725919;15;00:01:10;00:00:00
10/11/2017 00:00:00;17:29:55;147;LIGN;9;APOLLO;268438598;9148;STMICHEL;SAINT-MICHEL;17:32:12;1846632;726377;198;00:00:00;00:03:40
10/11/2017 00:00:00;17:29:55;197;LIGN;19;COUBERTIN;268439942;19201;UPPSALAS;UPPSALA;17:31:46;1848456;719687;0;00:00:00;00:04:50
10/11/2017 00:00:00;17:29:55;165;TDEP;7;H. DEPARTEMENT;268438382;7164;BOUIS7D;LES BOUISSES;17:30:00;1845315;721160;157;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;194;TDEP;7;H. DEPARTEMENT;268438354;7164;BOUIS7D;LES BOUISSES;17:48:00;1845332;721160;157;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;173;TARR;6;PAS DU LOUP;268439442;6221;PASLOU6R;PAS DU LOUP;17:29:38;1845469;722270;61;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2042;LIGN;4;GARCIA LORCA;268437673;44205;LORCAT4R;GARCIA LORCA;17:30:10;1844322;725555;94;00:00:00;00:07:11
10/11/2017 00:00:00;17:29:55;2048;LIGN;4;GARCIA LORCA;268437644;44104;STGUIT4A;SAINT-GUILHEM;17:29:27;1846358;724247;326;00:00:00;00:01:14
